departure,arrival,flight_number,departure_time,arrival_time,remarks,period
OKA,FUK,JTA 052,10:30,12:10,,20251026_20260105
OKA,FUK,JTA 054,13:15,15:00,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,FUK,JTA 058,15:10,16:50,1月5日5分遅着12月1日～1月4日5分遅発,20251026_20260105
OKA,FUK,JTA 2062,17:20,19:00,12月26日～1月4日運休,20251026_20260105
OKA,FUK,JTA 060,18:20,20:05,12月1～25日・1月5日5分早着12月26日～1月4日5分遅発(到着は同時刻),20251026_20260105
OKA,FUK,JTA 062,19:45,21:25,,20251026_20260105
OKA,FUK,JTA 052,10:25,12:10,1月6～31日5分遅発(到着は同時刻),20260106_20260228
OKA,FUK,JTA 054,13:20,15:00,,20260106_20260228
OKA,FUK,JTA 058,15:15,16:55,1月6～31日5分早発(到着は同時刻),20260106_20260228
OKA,FUK,JTA 2062,17:20,19:00,1月6～31日運航,20260106_20260228
OKA,FUK,JTA 060,18:20,20:00,,20260106_20260228
OKA,FUK,JTA 062,19:45,21:25,,20260106_20260228
OKA,FUK,JTA 052,10:30,12:10,,20260301_20260328
OKA,FUK,JTA 054,13:15,15:00,,20260301_20260328
OKA,FUK,JTA 058,15:00,16:40,3月1～12日15分遅発,20260301_20260328
OKA,FUK,JTA 060,18:25,20:05,,20260301_20260328
OKA,FUK,JTA 062,19:45,21:25,,20260301_20260328
OKA,ITM,JAL 2084,11:55,13:45,,20251026_20260105
OKA,ITM,JAL 2088,18:10,20:00,,20251026_20260105
OKA,ITM,JAL 2088,18:10,20:00,,20260106_20260228
OKA,ITM,JAL 2088,18:10,20:00,,20260301_20260328
CTS,HND,JAL 500,07:40,09:20,,20251026_20260105
CTS,HND,JAL 502,08:50,10:30,,20251026_20260105
CTS,HND,JAL 504,09:55,11:40,12月1日～1月5日5分遅発,20251026_20260105
CTS,HND,JAL 506,10:40,12:25,,20251026_20260105
CTS,HND,JAL 508,11:40,13:25,,20251026_20260105
CTS,HND,JAL 510,12:55,14:40,,20251026_20260105
CTS,HND,JAL 512,14:05,15:50,12月1日～1月5日5分遅発,20251026_20260105
CTS,HND,JAL 514,15:10,16:55,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
CTS,HND,JAL 516,15:45,17:30,12月1日～1月5日5分遅発,20251026_20260105
CTS,HND,JAL 518,17:00,18:45,,20251026_20260105
CTS,HND,JAL 520,17:30,19:15,,20251026_20260105
CTS,HND,JAL 522,18:00,19:45,,20251026_20260105
CTS,HND,JAL 524,19:35,21:15,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
CTS,HND,JAL 526,20:10,21:55,,20251026_20260105
CTS,HND,JAL 528,21:10,22:50,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
CTS,HND,JAL 530,21:15,23:00,,20251026_20260105
CTS,HND,JAL 500,07:40,09:20,,20260106_20260228
CTS,HND,JAL 502,08:50,10:30,,20260106_20260228
CTS,HND,JAL 504,09:55,11:40,1月6～31日5分遅発,20260106_20260228
CTS,HND,JAL 506,10:35,12:20,1月6～31日5分遅発,20260106_20260228
CTS,HND,JAL 508,11:40,13:25,,20260106_20260228
CTS,HND,JAL 510,12:55,14:40,,20260106_20260228
CTS,HND,JAL 512,14:05,15:50,,20260106_20260228
CTS,HND,JAL 514,15:05,16:55,,20260106_20260228
CTS,HND,JAL 516,15:45,17:30,1月6～31日5分遅発,20260106_20260228
CTS,HND,JAL 518,17:00,18:45,,20260106_20260228
CTS,HND,JAL 520,17:30,19:15,,20260106_20260228
CTS,HND,JAL 522,18:00,19:45,,20260106_20260228
CTS,HND,JAL 524,19:30,21:15,,20260106_20260228
CTS,HND,JAL 526,20:10,21:55,,20260106_20260228
CTS,HND,JAL 598,20:25,22:10,,20260106_20260228
CTS,HND,JAL 528,21:05,22:50,,20260106_20260228
CTS,HND,JAL 530,21:15,23:00,,20260106_20260228
CTS,HND,JAL 500,07:40,09:20,,20260301_20260328
CTS,HND,JAL 502,08:50,10:30,,20260301_20260328
CTS,HND,JAL 504,10:00,11:40,,20260301_20260328
CTS,HND,JAL 506,10:35,12:20,,20260301_20260328
CTS,HND,JAL 508,11:40,13:25,,20260301_20260328
CTS,HND,JAL 510,12:55,14:40,,20260301_20260328
CTS,HND,JAL 512,14:10,15:50,,20260301_20260328
CTS,HND,JAL 514,15:10,16:55,,20260301_20260328
CTS,HND,JAL 516,15:45,17:35,,20260301_20260328
CTS,HND,JAL 518,17:00,18:45,,20260301_20260328
CTS,HND,JAL 520,17:25,19:15,,20260301_20260328
CTS,HND,JAL 522,18:00,19:45,,20260301_20260328
CTS,HND,JAL 524,19:30,21:15,,20260301_20260328
CTS,HND,JAL 526,20:10,21:55,,20260301_20260328
CTS,HND,JAL 528,21:05,22:50,,20260301_20260328
CTS,HND,JAL 530,21:15,23:00,,20260301_20260328
CTS,FUK,JAL 3512,13:50,16:25,12月1日～1月5日5分遅着,20251026_20260105
CTS,FUK,JAL 4472FDA運航,17:40,20:40,,20251026_20260105
CTS,FUK,JAL 3512,13:50,16:30,,20260106_20260228
CTS,FUK,JAL 4472FDA運航,17:40,20:40,,20260106_20260228
CTS,FUK,JAL 3512,13:50,16:30,,20260301_20260328
CTS,FUK,JAL 4472FDA運航,17:40,20:40,,20260301_20260328
CTS,ITM,JAL 2000,08:55,10:55,12月19日～1月5日5分遅発,20251026_20260105
CTS,ITM,JAL 3912,12:00,14:00,12月19日～1月5日運航,20251026_20260105
CTS,ITM,JAL 2004,12:15,14:15,,20251026_20260105
CTS,ITM,JAL 3918,15:50,17:50,12月19日～1月5日運航,20251026_20260105
CTS,ITM,JAL 2010,15:55,17:55,,20251026_20260105
CTS,ITM,JAL 2016,17:35,19:35,12月1日～1月5日5分遅着,20251026_20260105
CTS,ITM,JAL 2004,12:15,14:15,,20260106_20260228
CTS,ITM,JAL 2008J-AIR運航,14:55,16:55,1月6～30日運休,20260106_20260228
CTS,ITM,JAL 2010,15:55,17:55,,20260106_20260228
CTS,ITM,JAL 2016,17:35,19:40,,20260106_20260228
CTS,ITM,JAL 2004,12:15,14:15,,20260301_20260328
CTS,ITM,JAL 2010,15:55,17:55,,20260301_20260328
CTS,ITM,JAL 2016,17:35,19:35,,20260301_20260328
FUK,HND,JAL 302,07:25,09:00,,20251026_20260105
FUK,HND,JAL 304,08:25,10:00,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
FUK,HND,JAL 306,09:25,11:00,,20251026_20260105
FUK,HND,JAL 308,10:00,11:40,1月5日5分早着12月1日～1月4日5分遅発(到着は同時刻),20251026_20260105
FUK,HND,JAL 310,11:00,12:40,,20251026_20260105
FUK,HND,JAL 312,12:00,13:40,,20251026_20260105
FUK,HND,JAL 314,13:00,14:40,,20251026_20260105
FUK,HND,JAL 316,14:05,15:40,12月1日～1月5日10分早発,20251026_20260105
FUK,HND,JAL 318,14:55,16:35,,20251026_20260105
FUK,HND,JAL 320,15:55,17:35,,20251026_20260105
FUK,HND,JAL 322,16:50,18:30,12月1日～1月5日5分早発10分早着,20251026_20260105
FUK,HND,JAL 324,17:20,19:00,,20251026_20260105
FUK,HND,JAL 326,18:15,19:50,,20251026_20260105
FUK,HND,JAL 328,18:55,20:30,,20251026_20260105
FUK,HND,JAL 330,20:05,21:45,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
FUK,HND,JAL 332,21:05,22:40,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
FUK,HND,JAL 302,07:25,09:00,,20260106_20260228
FUK,HND,JAL 304,08:30,10:00,,20260106_20260228
FUK,HND,JAL 306,09:25,11:00,,20260106_20260228
FUK,HND,JAL 308,10:00,11:35,,20260106_20260228
